Name,PM
Lasius_pallitarsis,1
Lasius_paralienus,1
Lasius_platythorax,1
Lasius_spathepus,1
Lepisiota_capensis,1
Linepithema_humile,1
Liometopum_apiculatum,1
Liometopum_occidentale,1
Lophomyrmex_bedoti,1
Melophorus_turneri,1
Meranoplus_peringueyi,1
Messor_barbarus,1
Messor_bouvieri,1
Messor_capensis,1
Messor_capitatus,1
Messor_minor,1
Messor_semirufus,1
Messor_structor,1
Monomorium_cyaneum,1
Monomorium_intrudens,1
Monomorium_kiliani,1
Monomorium_monomorium,1
Monomorium_pharaonis,1
Monomorium_rothsteini,1
Monomorium_rubriceps,1
Monomorium_sydneyense,1
Monomorium_viridum,1
Mycocepurus_goeldii,1
Myrcidris_epicharis,1
Myrmecocystus_mimicus,1
Myrmelachista_flavocotea,1
Myrmelachista_schumanni,1
Myrmica_aloba,1
Myrmica_brevispinosa,1
Myrmica_crassirugis,1
Myrmica_detritinodis,1
Myrmica_discontinua,1
Myrmica_fracticornis,1
Myrmica_kotokui,1
Myrmica_latifrons,1
Myrmica_lobicornis,1
Myrmica_punctiventris,1
Myrmica_rubra,1
Myrmica_ruginodis,1
Myrmica_rugulosa,1
Myrmica_sabuleti,1
Myrmica_scabrinodis,1
Myrmica_spatulata,1
Myrmica_spinosior,1
Myrmicaria_brunnea,1
Myrmicaria_fusca,1
Myrmicaria_nigra,1
Neoponera_apicalis,1
Neoponera_marginata,1
Neoponera_obscuricornis,1
Notoncus_ectatommoides,1
Notoncus_enormis,1
Nylanderia_flavipes,1
Nylanderia_obscura,1
Nylanderia_parvula,1
Nylanderia_vaga,1
Ochetellus_glaber,1
Ocymyrmex_cilliei,1
Odontomachus_bauri,1
Odontomachus_brunneus,1
Odontomachus_chelifer,1
Odontomachus_circulus,1
Odontomachus_erythrocephalus,1
Odontomachus_haematodus,1
Odontomachus_hastatus,1
Odontomachus_laticeps,1
Odontomachus_minuta,1
Odontoponera_transversa,1
Oecophylla_longinoda,1
Oecophylla_smaragdina,1
Pachycondyla_harpax,1
Pachycondyla_striata,1
Paltothyreus_tarsatus,1
Paraponera_clavata,1
Paratrechina_longicornis,1
Petalomyrmex_phylax,1
Pheidole_ampla,1
Pheidole_aristotelis,1
Pheidole_bergi,1
Pheidole_biconstricta,1
Pheidole_bicornis,1
Pheidole_capellinii,1
Pheidole_capensis,1
Pheidole_crassicornis,1
Pheidole_dentata,1
Pheidole_desertorum,1
Pheidole_fallax,1
Pheidole_fervida,1
Pheidole_floridana,1
Pheidole_grallipes,1
Pheidole_indica,1
Pheidole_megacephala,1
Pheidole_melastomae,1
Pheidole_metallescens,1
Pheidole_minutula,1
Pheidole_morrissii,1
Pheidole_nasutoides,1
Pheidole_noda,1
Pheidole_pallidula,1
Pheidole_pieli,1
Pheidole_praeses,1
Pheidole_pubiventris,1
Pheidole_radoszkowskii,1
Pheidole_spathifera,1
Pheidole_spininodis,1
Pheidole_ursus,1
Pheidole_watsoni,1
Pheidole_woodmasoni,1
Philidris_myrmecodiae,1
Plagiolepis_pygmaea,1
Podomyrma_laevifrons,1
Pogonomyrmex_badius,1
Pogonomyrmex_californicus,1
Pogonomyrmex_cunicularius,1
Pogonomyrmex_occidentalis,1
Pogonomyrmex_rugosus,1
Pogonomyrmex_subnitidus,1
Polyrhachis_lamellidens,1
Prenolepis_imparis,1
Pristomyrmex_punctatus,1
Pristomyrmex_pungens,1
Prolasius_nitidissimus,1
Pseudomyrmex_acanthobius,1
Pseudomyrmex_concolor,1
Pseudomyrmex_dendroicus,1
Pseudomyrmex_ferrugineus,1
Pseudomyrmex_fortis,1
Pseudomyrmex_gracilis,1
Pseudomyrmex_pallidus,1
Pseudomyrmex_penetrator,1
Pseudomyrmex_spinicola,1
Pseudomyrmex_termitarius,1
Pseudomyrmex_triplarinus,1
Pseudomyrmex_veneficus,1
Pseudomyrmex_viduus,1
Rhytidoponera_aurata,1
Rhytidoponera_borealis,1
Rhytidoponera_inornata,1
Rhytidoponera_maniae,1
Rhytidoponera_mayri,1
Rhytidoponera_metallica,1
Rhytidoponera_reticulata,1
