,x
Acanthognathus ocellatus,0
Acanthomyrmex ferox,0
Acanthostichus brevicornis,0
Acanthostichus quadratus,0
Acromyrmex ambiguus,0
Acromyrmex balzani,0
Acromyrmex echinatior,0
Acromyrmex heyeri,0
Acromyrmex landolti,0
Acromyrmex lundii,0
Acromyrmex octospinosus,1
Acromyrmex striatus,1
Acromyrmex versicolor,0
Acropyga acutiventris,0
Acropyga epedana,0
Adlerzia froggatti,0
Aenictus aratus,0
Aenictus ceylonicus,0
Aenictus eugenii,0
Aenictus laeviceps,0
Aenictus rotundatus,0
Aenictus turneri,0
Allomerus decemarticulatus,1
Allomerus octoarticulatus,1
Amblyopone australis,0
Aneuretus simoni,0
Anillomyrma decamera,0
Anochetus ghilianii,0
Anochetus grandidieri,0
Anochetus mayri,0
Anochetus princeps,0
Anomalomyrma boltoni,0
Anonychomyrma gilberti,1
Anonychomyrma itinerans,0
Anoplolepis custodiens,1
Anoplolepis gracilipes,1
Aphaenogaster araneoides,1
Aphaenogaster balcanica,0
Aphaenogaster boulderensis,0
Aphaenogaster carolinensis,1
Aphaenogaster flemingi,0
Aphaenogaster floridana,0
Aphaenogaster fulva,1
Aphaenogaster huachucana,0
Aphaenogaster japonica,1
Aphaenogaster lamellidens,0
Aphaenogaster mariae,0
Aphaenogaster megommata,0
Aphaenogaster miamiana,0
Aphaenogaster occidentalis,1
Aphaenogaster picea,1
Aphaenogaster pythia,0
Aphaenogaster rudis,1
Aphaenogaster senilis,1
Aphaenogaster swammerdami,1
Aphaenogaster tennesseensis,1
Aphaenogaster texana,1
Aphaenogaster treatae,1
Aphomomyrmex afer,1
Apomyrma stygia,0
Apterostigma collare,0
Apterostigma dentigerum,0
Apterostigma megacephala,0
Apterostigma pilosum,0
Apterostigma steigeri,0
Aptinoma antongil,0
Aptinoma mangabe,0
Atopomyrmex mocquerysi,0
Atta bisphaerica,0
Atta cephalotes,1
Atta colombica,1
Atta laevigata,0
Atta mexicana,0
Atta robusta,0
Atta texana,0
Austromorium flavigaster,0
Azteca beltii,0
Azteca instabilis,0
Azteca oecocordia,0
Azteca ovaticeps,1
Azteca pittieri,1
Azteca schimperi,0
Basiceros manni,0
Blepharidatta brasiliensis,0
Blepharidatta conops,0
Bothriomyrmex meridionalis,0
Bothriomyrmex paradoxus,0
Bothriomyrmex saundersi,0
Brachymyrmex depilis,1
Brachyponera chinensis,1
Brachyponera sennaarensis,0
Buniapone amblyops,0
Calyptomyrmex beccarii,0
Camponotus americanus,0
Camponotus aurocinctus,0
Camponotus castaneus,1
Camponotus clarithorax,0
Camponotus compressus,1
Camponotus consobrinus,1
Camponotus crozieri,0
Camponotus dromas,0
Camponotus eperiamorum,0
Camponotus fellah,0
Camponotus gouldi,0
Camponotus gouldianus,0
Camponotus grandidieri,0
Camponotus hartogi,0
Camponotus herculeanus,1
Camponotus hova,0
Camponotus hyatti,0
Camponotus inflatus,1
Camponotus integellus,0
Camponotus intrepidus,1
Camponotus laevigatus,0
Camponotus mackayensis,0
Camponotus maculatus,0
Camponotus maritimus,0
Camponotus modoc,0
Camponotus nearcticus,0
Camponotus nigriceps,0
Camponotus novaehollandiae,1
Camponotus novogranadensis,1
Camponotus ocreatus,1
Camponotus parius,0
Camponotus pennsylvanicus,1
Camponotus perjurus,0
Camponotus planatus,1
Camponotus prosseri,0
Camponotus quercicola,0
Camponotus rectangularis,0
Camponotus renggeri,0
Camponotus robustus,0
Camponotus rufipes,1
Camponotus semitestaceus,1
Camponotus sericeus,1
