generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1240000,30,98.5634,-3365.1,12.3951,0.3236
1250000,30,88.1177,-3355.79,13.479,0.3167
1260000,35,122.172,-3347.73,15.6073,0.3515
1270000,31,100.683,-3370.22,13.4362,0.325833
1280000,41,122.64,-3357.35,23.2527,0.34465
1290000,34,117.713,-3339.96,18.3389,0.3441
1300000,40,131.819,-3351.49,25.7874,0.3527
1310000,32,103.064,-3389.49,15.5715,0.331406
1320000,29,87.8981,-3371.32,14.146,0.33826
1330000,33,106.528,-3357.66,16.1191,0.335167
1340000,28,107.339,-3376.59,10.4202,0.3199
1350000,34,115.904,-3347.39,17.2803,0.32945
1360000,42,130.195,-3346.72,22.1417,0.3391
1370000,39,127.213,-3340.08,25.0091,0.3503
1380000,29,99.848,-3349.39,15.6864,0.34885
1390000,33,120.362,-3350.43,13.2445,0.3479
1400000,27,99.6618,-3349.04,13.1063,0.3391
1410000,31,108.874,-3357.21,16.6293,0.3383
1420000,28,95.9501,-3386.29,11.3346,0.330164
1430000,38,143.842,-3350.66,19.7158,0.335833
1440000,30,100.531,-3351.58,13.1155,0.334067
1450000,33,113.837,-3384.26,17.0564,0.336858
1460000,34,122.051,-3353.34,13.6006,0.342133
1470000,37,132.103,-3355.53,17.4021,0.3444
1480000,31,103.969,-3357.51,20.7026,0.352
1490000,28,98.1732,-3371.78,10.3004,0.3318
1500000,27,78.3221,-3394.9,13.77,0.325813
1510000,34,105.71,-3369.29,16.7755,0.340617
1520000,27,106.352,-3374.2,10.9965,0.329433
1530000,31,105.567,-3378.85,17.3001,0.34285
1540000,26,82.991,-3380.28,15.8533,0.327283
1550000,25,85.3636,-3377.72,10.6099,0.324
1560000,26,87.7111,-3393.81,16.5027,0.3347
1570000,31,109.071,-3398.1,14.4298,0.3444
1580000,31,108.251,-3376.77,19.2027,0.3309
1590000,30,110.838,-3380.17,11.2609,0.335967
1600000,30,89.8908,-3402.43,18.1492,0.3417
1610000,27,84.8623,-3403.61,18.5007,0.340162
1620000,39,143.532,-3358.27,15.6802,0.35714
