,i,lambda0,lambda1,mu0,mu1,q01,q10,p,div0,div1
2751,2751,0.137696556,0.507010159,0.143587537,0.173166421,0.009606303,0.359098823,-3828.623029,-0.005890981,0.333843738
2752,2752,0.13777872,0.501588581,0.129723445,0.162490463,0.008215214,0.356889524,-3827.947483,0.008055276,0.339098118
2753,2753,0.135274843,0.509489937,0.13244832,0.151814438,0.007746541,0.367466169,-3827.86966,0.002826523,0.357675499
2754,2754,0.128620784,0.511330511,0.11705889,0.147965728,0.008080656,0.371184986,-3829.885977,0.011561894,0.363364783
2755,2755,0.114380124,0.503059135,0.110420533,0.136087001,0.006722414,0.385479916,-3832.734701,0.003959591,0.366972134
2756,2756,0.111669474,0.515049549,0.102700523,0.134925981,0.009608596,0.412587197,-3830.128673,0.008968951,0.380123568
2757,2757,0.108728206,0.530451901,0.106456687,0.159980045,0.011276197,0.407043188,-3828.922249,0.002271518,0.370471855
2758,2758,0.11066768,0.530281666,0.117491729,0.152437615,0.010962904,0.414251232,-3828.747923,-0.006824049,0.377844052
2759,2759,0.119449427,0.530135727,0.129031411,0.145810493,0.011450391,0.416835657,-3829.272442,-0.009581984,0.384325234
2760,2760,0.117095506,0.531089587,0.12439025,0.159076935,0.011960431,0.423343795,-3830.11894,-0.007294744,0.372012652
2761,2761,0.11626072,0.549153421,0.118831781,0.166451444,0.011801811,0.425166428,-3829.057151,-0.002571061,0.382701977
2762,2762,0.109358316,0.548717454,0.11081442,0.166063653,0.010845681,0.422104115,-3829.583858,-0.001456104,0.382653801
2763,2763,0.113151784,0.546343166,0.122735123,0.161786751,0.010812217,0.429177753,-3830.174055,-0.009583339,0.384556415
2764,2764,0.127704476,0.548035372,0.120002385,0.162649743,0.012050218,0.431364534,-3831.357702,0.007702091,0.385385629
2765,2765,0.12028888,0.549064208,0.129657388,0.156951548,0.011395593,0.431241125,-3829.059906,-0.009368508,0.39211266
2766,2766,0.133454127,0.549412372,0.149735529,0.149963045,0.009630112,0.438836652,-3830.540276,-0.016281403,0.399449326
2767,2767,0.1465124,0.558312375,0.15168553,0.154502924,0.009933311,0.43634505,-3828.871737,-0.005173131,0.40380945
2768,2768,0.145505241,0.550863972,0.155308449,0.154051017,0.010655751,0.435069888,-3828.649586,-0.009803209,0.396812955
2769,2769,0.141045125,0.550247693,0.144461975,0.163461654,0.011524829,0.432147414,-3828.70234,-0.00341685,0.386786039
2770,2770,0.14208804,0.556145395,0.147219374,0.165554663,0.009647767,0.420552926,-3828.429924,-0.005131335,0.390590732
2771,2771,0.143664154,0.558264322,0.147850226,0.172501198,0.010692634,0.422072497,-3828.515977,-0.004186072,0.385763124
2772,2772,0.147082613,0.554419828,0.157489347,0.170265918,0.010585325,0.422817793,-3828.870844,-0.010406734,0.38415391
2773,2773,0.145869447,0.556033094,0.15584637,0.176288836,0.010184127,0.408556141,-3829.26694,-0.009976924,0.379744258
2774,2774,0.151764895,0.546377759,0.152956394,0.180195874,0.01070985,0.401600687,-3828.3502,-0.001191499,0.366181885
2775,2775,0.150487887,0.547503616,0.148843445,0.18952443,0.011830365,0.427133752,-3835.793917,0.001644442,0.357979186
2776,2776,0.140920717,0.563128894,0.143311957,0.192314584,0.010591001,0.39068868,-3831.219218,-0.00239124,0.370814309
2777,2777,0.135294625,0.558100035,0.140067503,0.212294447,0.012492848,0.387850833,-3829.716035,-0.004772878,0.345805588
2778,2778,0.141916366,0.558596574,0.141777938,0.215516251,0.01297115,0.385074884,-3830.419786,0.000138429,0.343080323
2779,2779,0.139786361,0.565982725,0.14462222,0.232104917,0.011415204,0.390118522,-3833.686871,-0.004835858,0.333877809
2780,2780,0.141187645,0.563395325,0.131252133,0.219150069,0.010749021,0.366559123,-3831.571422,0.009935511,0.344245255
2781,2781,0.13698311,0.551972873,0.141584361,0.231427644,0.015271431,0.385896714,-3835.280917,-0.004601251,0.320545229
2782,2782,0.146313037,0.559268994,0.141493246,0.230255226,0.012387802,0.362171188,-3831.33961,0.004819791,0.329013768
2783,2783,0.136413605,0.555653399,0.143942025,0.234113544,0.010634332,0.361876215,-3831.679276,-0.007528421,0.321539855
2784,2784,0.136679497,0.575586424,0.142205061,0.253094522,0.011498371,0.364305132,-3830.82205,-0.005525563,0.322491902
2785,2785,0.136450007,0.581787408,0.130506887,0.248747101,0.009327712,0.3541538,-3829.812141,0.005943119,0.333040307
2786,2786,0.135505478,0.573342165,0.13300197,0.236574256,0.00981714,0.355162187,-3829.74511,0.002503508,0.336767909
2787,2787,0.133418666,0.557158708,0.137172027,0.217632217,0.007387311,0.354597382,-3830.967615,-0.003753361,0.339526491
2788,2788,0.143581876,0.545886521,0.140611519,0.190332581,0.007187247,0.357943949,-3831.062558,0.002970357,0.355553941
2789,2789,0.137321425,0.530668307,0.140097753,0.178491104,0.007138304,0.367747313,-3829.607113,-0.002776328,0.352177203
2790,2790,0.148881872,0.539944574,0.151929531,0.178773569,0.007083441,0.380585008,-3830.014938,-0.003047659,0.361171004
2791,2791,0.147102449,0.541420536,0.146496146,0.171517586,0.008975634,0.395349777,-3827.876732,0.000606303,0.369902949
2792,2792,0.136780114,0.538030682,0.131711019,0.171030085,0.009571968,0.387530135,-3828.670052,0.005069095,0.367000598
2793,2793,0.128482795,0.536818002,0.133449571,0.183286049,0.011405333,0.3978188,-3829.052852,-0.004966776,0.353531953
2794,2794,0.12839901,0.545282,0.133038217,0.179312647,0.011361902,0.412727867,-3829.075889,-0.004639207,0.365969352
2795,2795,0.123126356,0.54549379,0.118152657,0.173498621,0.010841369,0.398668191,-3829.489185,0.004973699,0.371995169
2796,2796,0.113713442,0.534078189,0.109090166,0.161615243,0.00870607,0.401967483,-3830.583849,0.004623275,0.372462947
2797,2797,0.104020189,0.544915336,0.101949608,0.171206523,0.0086009,0.400794179,-3832.105836,0.002070582,0.373708814
2798,2798,0.09766257,0.547519176,0.101988155,0.17239685,0.010950083,0.399153169,-3831.72637,-0.004325585,0.375122326
2799,2799,0.111919586,0.550724705,0.115685611,0.191397781,0.009771851,0.384857364,-3829.454509,-0.003766025,0.359326924
2800,2800,0.115142309,0.556609926,0.115071268,0.207329553,0.011888172,0.395463095,-3829.953896,7.1041E-05,0.349280372
2801,2801,0.109880586,0.564751682,0.112571202,0.203988221,0.011045001,0.3907283,-3830.036308,-0.002690615,0.360763461
2802,2802,0.108981672,0.558355121,0.105196825,0.209375765,0.012267858,0.388127575,-3830.165648,0.003784846,0.348979356
2803,2803,0.117597924,0.561472676,0.119961712,0.208696409,0.010695026,0.375673078,-3830.105205,-0.002363788,0.352776267
2804,2804,0.127760913,0.551275657,0.120837052,0.210153947,0.012304881,0.381593523,-3830.004955,0.006923861,0.34112171
2805,2805,0.123803236,0.554073322,0.123934518,0.211682467,0.011230738,0.378765514,-3828.706571,-0.000131282,0.342390855
2806,2806,0.117930463,0.562951737,0.115904683,0.217939617,0.010133098,0.364720237,-3829.865638,0.00202578,0.345012121
2807,2807,0.117610532,0.559141946,0.118241009,0.217440843,0.009782031,0.371043626,-3829.380295,-0.000630477,0.341701103
2808,2808,0.11112256,0.562009477,0.108117894,0.21343283,0.010254811,0.370871536,-3830.055357,0.003004666,0.348576647
2809,2809,0.109257824,0.557809307,0.110678457,0.211116813,0.008889298,0.366423193,-3830.772104,-0.001420634,0.346692494
2810,2810,0.120223261,0.553625341,0.122575018,0.209454579,0.011781803,0.381808411,-3829.147063,-0.002351756,0.344170762
2811,2811,0.123451833,0.549535067,0.127764967,0.202624525,0.009841442,0.363951608,-3830.165217,-0.004313134,0.346910542
2812,2812,0.136318529,0.537403141,0.126453974,0.203980639,0.011342733,0.383269636,-3832.067306,0.009864555,0.333422502
2813,2813,0.135497598,0.548882475,0.12923486,0.201802124,0.011128102,0.383346016,-3829.080347,0.006262738,0.347080351
2814,2814,0.135350358,0.542006521,0.135488994,0.185045871,0.008439047,0.369088485,-3828.978402,-0.000138636,0.35696065
2815,2815,0.143976203,0.532289378,0.134509301,0.182815782,0.00866832,0.365282156,-3829.353581,0.009466902,0.349473596
2816,2816,0.135141223,0.53272809,0.140245539,0.185519614,0.008964321,0.374995222,-3828.43157,-0.005104317,0.347208477
2817,2817,0.146079336,0.529053806,0.141343262,0.162674797,0.007429772,0.389479662,-3830.048282,0.004736074,0.366379009
2818,2818,0.139954007,0.528710344,0.140003831,0.164137032,0.008930041,0.38081959,-3828.001167,-4.98239E-05,0.364573312
2819,2819,0.144294329,0.531615631,0.148525993,0.166339511,0.007557,0.373558892,-3829.581541,-0.004231664,0.36527612
2820,2820,0.135452558,0.514306652,0.137110289,0.154568714,0.007465716,0.383968766,-3829.360892,-0.001657731,0.359737938
2821,2821,0.136672412,0.524303372,0.135080753,0.154451055,0.009385682,0.397543057,-3827.247681,0.00159166,0.369852316
2822,2822,0.13957095,0.520575997,0.151484085,0.154184255,0.009745218,0.399371847,-3828.882268,-0.011913135,0.366391742
2823,2823,0.152145682,0.521193529,0.155593486,0.154645458,0.010287465,0.398870765,-3827.64407,-0.003447804,0.366548071
2824,2824,0.152661369,0.516990745,0.163808356,0.149169149,0.010132691,0.406806832,-3829.262458,-0.011146987,0.367821596
2825,2825,0.161280579,0.519883567,0.167316445,0.150404501,0.009971579,0.400641535,-3828.068065,-0.006035867,0.369479066
2826,2826,0.162401887,0.514414962,0.159947431,0.145075188,0.010979771,0.394249375,-3831.635642,0.002454456,0.369339773
2827,2827,0.151643339,0.494678531,0.145098207,0.135486669,0.008638219,0.380903312,-3827.766178,0.006545132,0.359191861
2828,2828,0.15230958,0.496222282,0.150510568,0.138485619,0.008050278,0.381527932,-3827.381864,0.001799012,0.357736663
2829,2829,0.149695764,0.508177772,0.151625347,0.148627497,0.009994804,0.381687909,-3828.150609,-0.001929583,0.359550274
2830,2830,0.15620292,0.506365038,0.161877101,0.150945482,0.007757404,0.362770245,-3829.614522,-0.005674181,0.355419556
2831,2831,0.159612451,0.493627606,0.166971332,0.144419709,0.007194018,0.362027041,-3828.938794,-0.007358882,0.349207897
2832,2832,0.167083625,0.479437838,0.167269708,0.117280522,0.007040118,0.387551766,-3829.622335,-0.000186083,0.362157316
2833,2833,0.163477761,0.488894252,0.163339198,0.105687233,0.007032778,0.393280149,-3827.913298,0.000138562,0.383207019
2834,2834,0.162335748,0.484190794,0.170682512,0.107399049,0.008338764,0.407448892,-3828.241124,-0.008346764,0.376791745
2835,2835,0.170162337,0.48809956,0.176604143,0.10109394,0.007595791,0.40841855,-3827.617646,-0.006441806,0.38700562
2836,2836,0.170714901,0.481933268,0.170093705,0.076890452,0.007079898,0.413155732,-3829.042125,0.000621197,0.405042816
2837,2837,0.168713971,0.469967401,0.168733672,0.069756938,0.008225852,0.437002823,-3829.396509,-1.97008E-05,0.400210463
2838,2838,0.166983628,0.482642025,0.169185023,0.071473166,0.008183497,0.442194995,-3827.860855,-0.002201395,0.411168859
2839,2839,0.155965573,0.484099794,0.16182479,0.068922686,0.008822518,0.442640209,-3826.673582,-0.005859217,0.415177108
2840,2840,0.15527211,0.48160465,0.162342998,0.059452658,0.008793183,0.444946472,-3827.13127,-0.007070888,0.422151992
2841,2841,0.151578055,0.467426005,0.152174172,0.048767232,0.008636122,0.441462177,-3826.711726,-0.000596116,0.418658774
2842,2842,0.151443664,0.457753875,0.154883173,0.05131664,0.009663358,0.431786105,-3827.058574,-0.003439508,0.406437235
2843,2843,0.158705066,0.449992825,0.15143502,0.040371235,0.007120098,0.434218502,-3830.110945,0.007270046,0.409621591
2844,2844,0.140946963,0.454848331,0.152047062,0.032712264,0.007464321,0.435581775,-3827.014025,-0.011100098,0.422136067
2845,2845,0.137477871,0.452832262,0.156500596,0.031517704,0.007228343,0.445640248,-3829.651394,-0.019022726,0.421314558
2846,2846,0.163900627,0.454224745,0.158168275,0.026304116,0.007390573,0.4468815,-3829.342664,0.005732352,0.42792063
2847,2847,0.162327582,0.448754842,0.182176699,0.027203242,0.008238672,0.447834394,-3829.527001,-0.019849117,0.4215516
2848,2848,0.174213307,0.449565619,0.178736621,0.026652016,0.007705539,0.453393866,-3828.072363,-0.004523314,0.422913603
2849,2849,0.164219379,0.457068533,0.163745529,0.027506437,0.007664049,0.445049235,-3827.891398,0.00047385,0.429562096
2850,2850,0.149797134,0.453866623,0.14442808,0.014872666,0.008279973,0.459990848,-3828.780409,0.005369054,0.438993957
2851,2851,0.136668813,0.451046718,0.145183428,0.014179709,0.007457918,0.460853921,-3826.474141,-0.008514614,0.436867008
2852,2852,0.148782461,0.453627265,0.166032393,0.014622309,0.008090262,0.460395108,-3827.83347,-0.017249932,0.439004955
2853,2853,0.150257053,0.454874861,0.164524314,0.013837279,0.007264505,0.459784821,-3827.364655,-0.014267261,0.441037582
2854,2854,0.159241919,0.454874203,0.165820826,0.022110976,0.009647946,0.470638698,-3827.263097,-0.006578907,0.432763227
2855,2855,0.159775379,0.453359839,0.152446956,0.021973482,0.008960263,0.463732136,-3831.007094,0.007328422,0.431386357
2856,2856,0.157245572,0.449970099,0.166044781,0.015124346,0.00870271,0.46427227,-3826.399671,-0.008799209,0.434845753
2857,2857,0.152578724,0.45141309,0.155789369,0.013785527,0.00809901,0.46366538,-3826.339056,-0.003210645,0.437627563
2858,2858,0.152775582,0.439539608,0.167559528,0.00920922,0.010232074,0.468853658,-3828.186991,-0.014783946,0.430330388
2859,2859,0.147535483,0.446133172,0.160818886,0.002859008,0.007006752,0.457547241,-3827.322596,-0.013283402,0.443274164
2860,2860,0.149167554,0.444610873,0.161638883,0.004990199,0.006589726,0.458357361,-3827.593425,-0.012471329,0.439620674
2861,2861,0.150543117,0.458804164,0.153263412,0.014184075,0.008220223,0.465950998,-3826.866274,-0.002720295,0.44462009
2862,2862,0.143138948,0.451697622,0.155208083,0.01536462,0.009431104,0.468421881,-3826.462754,-0.012069135,0.436333002
2863,2863,0.147943128,0.45116548,0.149714457,0.012732898,0.007916202,0.466812704,-3826.778371,-0.001771329,0.438432582
2864,2864,0.138851162,0.467084635,0.147005447,0.034422513,0.009252446,0.462101535,-3826.157015,-0.008154285,0.432662122
2865,2865,0.143585742,0.459873254,0.158425785,0.036371196,0.011053043,0.462817613,-3828.40052,-0.014840043,0.423502058
2866,2866,0.144187866,0.457383871,0.157159858,0.030685981,0.009814206,0.456642266,-3827.184426,-0.012971992,0.42669789
2867,2867,0.146300149,0.456029102,0.150859153,0.036016771,0.009553677,0.445020602,-3826.781306,-0.004559004,0.42001233
2868,2868,0.147898357,0.461707482,0.15171067,0.054528965,0.009027403,0.45120452,-3829.098602,-0.003812313,0.407178517
2869,2869,0.145961131,0.47179315,0.154853833,0.047543622,0.007804116,0.448988916,-3826.603283,-0.008892702,0.424249527
2870,2870,0.153939481,0.469181501,0.173668047,0.040811483,0.007047837,0.44627233,-3829.835711,-0.019728566,0.428370018
2871,2871,0.159940076,0.466214262,0.171710835,0.033908184,0.007128641,0.455824909,-3827.790021,-0.011770759,0.432306078
2872,2872,0.159112588,0.465920371,0.168243245,0.029826632,0.007433996,0.458908252,-3827.023193,-0.009130658,0.436093739
2873,2873,0.158510909,0.466405862,0.169480609,0.028406446,0.007958934,0.472913386,-3828.274106,-0.010969699,0.437999416
2874,2874,0.155153206,0.482306155,0.156082642,0.043228826,0.008585515,0.475978247,-3828.61314,-0.000929436,0.439077329
2875,2875,0.152226509,0.493166019,0.159492523,0.051217322,0.009799262,0.475801899,-3827.730072,-0.007266013,0.441948697
2876,2876,0.147247874,0.487930251,0.153582164,0.048236771,0.008863009,0.472203191,-3827.046092,-0.00633429,0.43969348
2877,2877,0.138445836,0.491695439,0.153589187,0.05395948,0.01052088,0.488167112,-3829.257818,-0.015143351,0.437735959
2878,2878,0.139550902,0.501965988,0.148914898,0.060432514,0.010824964,0.487621009,-3827.97477,-0.009363996,0.441533475
2879,2879,0.142140549,0.499009884,0.147652596,0.062125824,0.010802624,0.474233781,-3828.249493,-0.005512046,0.43688406
2880,2880,0.136848731,0.497422746,0.139707147,0.065511336,0.009874337,0.463812515,-3827.513026,-0.002858416,0.43191141
2881,2881,0.13360885,0.489904062,0.140918698,0.074357716,0.012382987,0.454806002,-3829.498098,-0.007309848,0.415546346
2882,2882,0.126494966,0.487186966,0.141583888,0.080490122,0.011245501,0.439317437,-3829.270296,-0.015088921,0.406696844
2883,2883,0.141113125,0.487416676,0.15039885,0.08312011,0.008679214,0.440910027,-3828.077958,-0.009285725,0.404296566
2884,2884,0.143535143,0.501753098,0.148096275,0.090738523,0.007889354,0.428232524,-3827.438506,-0.004561132,0.411014574
2885,2885,0.142372207,0.487819107,0.149827504,0.08261014,0.008431422,0.427218102,-3826.526293,-0.007455296,0.405208967
2886,2886,0.144023083,0.481784413,0.151911402,0.081433902,0.009107649,0.428382454,-3826.344386,-0.007888319,0.400350511
2887,2887,0.150107786,0.480251155,0.149563485,0.083574973,0.008666523,0.426869486,-3826.867072,0.000544301,0.396676182
2888,2888,0.150062994,0.489003464,0.151380986,0.089640793,0.008586221,0.421549236,-3826.603742,-0.001317992,0.399362671
2889,2889,0.148763644,0.483966129,0.150593004,0.088055145,0.009512269,0.430022421,-3826.707431,-0.00182936,0.395910984
2890,2890,0.148627936,0.490160556,0.151714738,0.091056731,0.00886592,0.425600672,-3826.398111,-0.003086802,0.399103825
2891,2891,0.143586121,0.489926121,0.15315443,0.088333597,0.007822244,0.451046264,-3838.133491,-0.009568309,0.401592524
2892,2892,0.151750217,0.513222165,0.159964309,0.082105227,0.008583745,0.45990742,-3827.860285,-0.008214092,0.431116937
2893,2893,0.147054384,0.521225169,0.157739248,0.087336759,0.008898012,0.466122712,-3828.195753,-0.010684864,0.43388841
2894,2894,0.143628526,0.527822252,0.148579933,0.093879339,0.009025,0.469762754,-3828.732012,-0.004951407,0.433942914
2895,2895,0.13633323,0.533134457,0.135205003,0.093553846,0.008415024,0.461749832,-3830.796454,0.001128228,0.439580611
2896,2896,0.129343926,0.530419359,0.132567681,0.089473002,0.009105823,0.487100359,-3831.667222,-0.003223756,0.440946357
2897,2897,0.115286747,0.54649561,0.128790896,0.083648002,0.00919642,0.502735457,-3831.93024,-0.013504149,0.462847608
2898,2898,0.121753553,0.53277685,0.138482461,0.056438381,0.008617795,0.509739637,-3831.406378,-0.016728908,0.476338469
2899,2899,0.136242916,0.533369114,0.14437841,0.060708122,0.008417248,0.502823571,-3831.010087,-0.008135495,0.472660992
2900,2900,0.139494967,0.535969993,0.146307889,0.070518224,0.009155357,0.507812007,-3830.811275,-0.006812922,0.465451769
2901,2901,0.139071654,0.537394831,0.149792339,0.076320623,0.01072678,0.506039504,-3829.727331,-0.010720685,0.461074207
2902,2902,0.133475103,0.53968476,0.149728712,0.074972505,0.009073231,0.499529911,-3830.4826,-0.016253609,0.464712255
2903,2903,0.131137804,0.533217063,0.141180528,0.070587998,0.008920055,0.495412508,-3830.053488,-0.010042724,0.462629065
2904,2904,0.133158423,0.522380246,0.151630557,0.058973996,0.009800547,0.502891259,-3829.553868,-0.018472135,0.463406249
2905,2905,0.136192908,0.521889921,0.156758885,0.059068904,0.010307739,0.502761827,-3829.952672,-0.020565977,0.462821016
2906,2906,0.141045614,0.518675926,0.161530569,0.05942432,0.010136828,0.502862221,-3829.874733,-0.020484955,0.459251606
2907,2907,0.152029858,0.519227903,0.162864119,0.063312088,0.009768242,0.486451554,-3829.694049,-0.01083426,0.455915815
2908,2908,0.14672269,0.510566772,0.164060932,0.064758576,0.009846301,0.480736692,-3828.910205,-0.017338242,0.445808195
2909,2909,0.161128919,0.490813835,0.171999898,0.031853616,0.009149705,0.503094236,-3829.031055,-0.010870979,0.458960219
2910,2910,0.160692189,0.499266262,0.171569871,0.033164754,0.008942682,0.494776725,-3829.113354,-0.010877681,0.466101509
2911,2911,0.158091397,0.492906863,0.170722742,0.037128539,0.010882364,0.496769722,-3829.238795,-0.012631345,0.455778324
2912,2912,0.146827879,0.493495044,0.153538088,0.047961553,0.010874978,0.493219732,-3828.375982,-0.006710209,0.44553349
2913,2913,0.134683627,0.493283336,0.13757141,0.047085429,0.011921507,0.500663257,-3829.692613,-0.002887783,0.446197907
2914,2914,0.1192989,0.505431559,0.129464392,0.045686077,0.009018923,0.497102119,-3829.179112,-0.010165492,0.459745483
2915,2915,0.115245908,0.501796875,0.115420571,0.032449014,0.009648332,0.498669942,-3830.743795,-0.000174664,0.469347861
2916,2916,0.112563031,0.476304008,0.116945032,0.010871907,0.008828234,0.496488881,-3828.54455,-0.004382002,0.465432101
2917,2917,0.112563588,0.472073175,0.118157048,0.000626211,0.009015642,0.491453582,-3829.342667,-0.00559346,0.471446964
2918,2918,0.112921513,0.459258134,0.125943051,0.006920469,0.009704044,0.478675219,-3827.72759,-0.013021538,0.452337665
2919,2919,0.128945126,0.440478865,0.145289764,0.00316799,0.009778336,0.471865885,-3827.276571,-0.016344638,0.437310876
2920,2920,0.142695182,0.435903061,0.149809131,0.003452381,0.00870255,0.469780175,-3826.985599,-0.007113949,0.432450679
2921,2921,0.142314822,0.45218482,0.154628795,0.009754386,0.008824556,0.467242831,-3826.547982,-0.012313972,0.442430434
2922,2922,0.138433662,0.453288123,0.13774718,0.012702512,0.009630641,0.47584457,-3827.335154,0.000686482,0.440585611
2923,2923,0.131890593,0.452174244,0.13777501,0.011640319,0.009749341,0.476777311,-3826.208178,-0.005884418,0.440533925
2924,2924,0.135922108,0.454760149,0.151891144,0.00883438,0.0089479,0.476608329,-3826.93374,-0.015969036,0.445925769
2925,2925,0.138389093,0.460656064,0.14902123,0.01712417,0.00950025,0.477220051,-3826.35301,-0.010632137,0.443531894
2926,2926,0.141634504,0.456520449,0.153747206,0.00582673,0.008521278,0.478817257,-3826.374266,-0.012112702,0.450693719
2927,2927,0.143364846,0.448080144,0.154470808,0.003678549,0.010612774,0.484007764,-3827.2847,-0.011105962,0.444401595
2928,2928,0.142794914,0.44840884,0.161508098,0.004598925,0.012425967,0.485037814,-3831.556448,-0.018713185,0.443809915
2929,2929,0.149057308,0.429565484,0.162536133,0.003936186,0.011945496,0.469739095,-3830.18588,-0.013478825,0.425629298
2930,2930,0.150598536,0.428692242,0.160817388,0.004673708,0.009247505,0.438291971,-3829.969158,-0.010218852,0.424018534
2931,2931,0.150222933,0.421919674,0.150748289,0.02180183,0.010126612,0.429354312,-3828.016783,-0.000525356,0.400117844
2932,2932,0.136618324,0.428886727,0.141236257,0.031466224,0.009469275,0.423609093,-3826.02185,-0.004617932,0.397420503
2933,2933,0.136233974,0.426013283,0.142077405,0.031244445,0.008217943,0.414811558,-3825.572396,-0.005843431,0.394768838
2934,2934,0.142486017,0.434983201,0.141233048,0.040232892,0.009466475,0.430873889,-3827.290889,0.001252969,0.394750308
2935,2935,0.145029888,0.437130389,0.15613438,0.03080025,0.008539113,0.432807056,-3826.514716,-0.011104492,0.406330139
2936,2936,0.147468759,0.439580313,0.151039769,0.030493788,0.008394037,0.445447727,-3827.74709,-0.00357101,0.409086525
2937,2937,0.142953552,0.452602162,0.145918778,0.033562964,0.008270315,0.448075418,-3826.080969,-0.002965226,0.419039198
2938,2938,0.14252205,0.459778517,0.153572508,0.035323593,0.008346392,0.441376992,-3827.151976,-0.011050458,0.424454924
2939,2939,0.142066226,0.459219191,0.144450273,0.036180678,0.00829239,0.451731664,-3826.206695,-0.002384047,0.423038512
2940,2940,0.133922687,0.458446344,0.144834527,0.035574444,0.008811757,0.444760348,-3826.483361,-0.01091184,0.422871901
2941,2941,0.132504363,0.447996626,0.146293904,0.031956709,0.009372893,0.440704798,-3827.215487,-0.013789541,0.416039916
2942,2942,0.140958852,0.440976138,0.139076184,0.027788509,0.008748796,0.440748182,-3826.210387,0.001882668,0.413187629
2943,2943,0.128771897,0.435803933,0.126205993,0.016617079,0.00900901,0.43570835,-3826.770986,0.002565904,0.419186854
2944,2944,0.124168197,0.429862072,0.125728348,0.024509628,0.009672137,0.42226369,-3827.194107,-0.001560151,0.405352444
2945,2945,0.127310556,0.414736185,0.130312075,0.013710394,0.00958429,0.430424523,-3826.068814,-0.003001519,0.401025791
2946,2946,0.130367984,0.42417072,0.128470096,0.019036444,0.008912533,0.427316006,-3825.670682,0.001897888,0.405134275
2947,2947,0.118978253,0.425104287,0.114771363,0.018745309,0.007603371,0.428879854,-3827.083703,0.004206891,0.406358978
2948,2948,0.112029825,0.432487417,0.115996657,0.018835313,0.008238067,0.431649305,-3825.849814,-0.003966832,0.413652104
2949,2949,0.115303747,0.423835769,0.12333425,0.01281783,0.008197736,0.431838504,-3826.00479,-0.008030503,0.411017938
2950,2950,0.109843292,0.422960783,0.117682917,0.006160232,0.008151551,0.440271152,-3826.478411,-0.007839625,0.416800551
2951,2951,0.116951061,0.421965159,0.119697147,0.001514614,0.008778154,0.451599941,-3826.251328,-0.002746085,0.420450544
2952,2952,0.113381384,0.425634648,0.112787501,9.37E-05,0.008479408,0.45139623,-3826.180095,0.000593883,0.425540919
2953,2953,0.109366057,0.422993891,0.104107665,0.001637551,0.009112381,0.432999538,-3827.858861,0.005258392,0.42135634
2954,2954,0.105658292,0.418042733,0.111584044,0.011973586,0.009929595,0.443367143,-3827.985208,-0.005925751,0.406069147
2955,2955,0.107807981,0.440100173,0.110708608,0.005706828,0.007637719,0.45432155,-3827.253058,-0.002900627,0.434393345
2956,2956,0.110966128,0.446043812,0.117149695,0.017541312,0.010062106,0.469892562,-3827.449258,-0.006183567,0.428502499
2957,2957,0.104637441,0.461245449,0.101609489,0.024952893,0.01065018,0.464126558,-3829.122788,0.003027952,0.436292556
2958,2958,0.095958628,0.456876975,0.113655695,0.029223762,0.010173086,0.458588888,-3829.434084,-0.017697067,0.427653213
2959,2959,0.108341468,0.448132948,0.115690659,0.02813468,0.010828638,0.455763613,-3827.092364,-0.00734919,0.419998268
2960,2960,0.109639796,0.446698431,0.119742044,0.03064367,0.01062394,0.453524908,-3827.343905,-0.010102248,0.416054761
2961,2961,0.11241713,0.449772799,0.124591994,0.029196903,0.010403751,0.456465519,-3827.281933,-0.012174863,0.420575896
2962,2962,0.125015096,0.437255583,0.130938436,0.032550545,0.013352685,0.457707793,-3830.597496,-0.00592334,0.404705038
2963,2963,0.119066402,0.435302796,0.119599453,0.025360803,0.012617452,0.459052908,-3829.616815,-0.00053305,0.409941993
2964,2964,0.113431178,0.441073478,0.12114162,0.029047255,0.01116656,0.454092186,-3827.605057,-0.007710443,0.412026223
2965,2965,0.118418114,0.446738794,0.121772856,0.042974698,0.01027591,0.448615857,-3828.251093,-0.003354742,0.403764096
2966,2966,0.111358181,0.453314783,0.111565777,0.0398605,0.010761223,0.447511028,-3827.063888,-0.000207597,0.413454283
2967,2967,0.121754459,0.44940161,0.12091259,0.034037534,0.009989183,0.434619236,-3827.773379,0.000841868,0.415364077
2968,2968,0.119687248,0.442433736,0.122555484,0.034458826,0.007668652,0.428898619,-3826.200677,-0.002868236,0.40797491
2969,2969,0.119357456,0.447969144,0.115361375,0.030374478,0.009025569,0.442174647,-3826.561759,0.003996081,0.417594666
2970,2970,0.105052284,0.446020909,0.105350973,0.032079714,0.011069661,0.451819093,-3827.630485,-0.000298689,0.413941195
2971,2971,0.094497201,0.448263464,0.094618373,0.015817034,0.008269051,0.450587115,-3828.839996,-0.000121172,0.43244643
2972,2972,0.099818898,0.442236695,0.096207461,0.011323989,0.008957091,0.45568463,-3828.063431,0.003611437,0.430912706
2973,2973,0.094052303,0.446569639,0.116771963,0.017010225,0.008182705,0.455172943,-3831.547931,-0.02271966,0.429559415
2974,2974,0.11808876,0.45436833,0.121395519,0.023492506,0.008384372,0.44654693,-3826.663482,-0.003306759,0.430875824
2975,2975,0.116263378,0.449393241,0.122903426,0.020997367,0.007573602,0.44483116,-3826.667059,-0.006640048,0.428395874
2976,2976,0.121201467,0.447302524,0.131480401,0.022467227,0.006835702,0.434861513,-3827.73178,-0.010278934,0.424835297
