,i,lambda0,lambda1,mu0,mu1,q01,q10,p,div0,div1
47,47,0.146923,0.538027453,0.153087287,0.194027723,0.010502509,0.373615829,-3828.84155,-0.006164287,0.34399973
48,48,0.153170865,0.5358341,0.150450567,0.198291117,0.008939204,0.359861347,-3828.08757,0.002720298,0.337542982
49,49,0.153848544,0.535671116,0.148046085,0.200152185,0.008318553,0.349736915,-3828.896874,0.005802459,0.335518931
50,50,0.153555718,0.535590362,0.152581941,0.202768052,0.007763051,0.358169372,-3829.868208,0.000973777,0.33282231
51,51,0.155939357,0.537715951,0.151793937,0.190945846,0.007845512,0.356701077,-3829.332712,0.00414542,0.346770105
52,52,0.150404027,0.531333609,0.148692451,0.187482947,0.007802842,0.351780675,-3829.131151,0.001711576,0.343850663
53,53,0.15119798,0.517871473,0.146570874,0.176626613,0.009320341,0.367321105,-3827.896063,0.004627105,0.34124486
54,54,0.146118687,0.525863909,0.139524668,0.178324718,0.009240969,0.369082,-3828.238952,0.006594019,0.347539191
55,55,0.13090499,0.523717222,0.133210191,0.175014886,0.010128355,0.372086973,-3827.94973,-0.002305201,0.348702336
56,56,0.140083327,0.524456568,0.133753258,0.179725469,0.009965425,0.373678551,-3828.088104,0.006330069,0.344731098
57,57,0.140219377,0.531710274,0.143804552,0.184895524,0.010093634,0.376275208,-3827.827432,-0.003585175,0.34681475
58,58,0.144114011,0.54026001,0.145009514,0.192733209,0.009342541,0.378290105,-3827.980847,-0.000895502,0.347526801
59,59,0.140150681,0.537375604,0.136372559,0.176548842,0.009926828,0.38969922,-3827.950753,0.003778122,0.360826761
60,60,0.13166675,0.536917493,0.133613967,0.171934678,0.009958167,0.394651729,-3827.530056,-0.001947217,0.364982815
61,61,0.130166619,0.53659315,0.138466249,0.168590761,0.01038737,0.405614589,-3828.480992,-0.00829963,0.368002388
62,62,0.131238674,0.529375116,0.129732606,0.162868804,0.011435906,0.407293416,-3828.189832,0.001506068,0.366506312
63,63,0.121628289,0.537247753,0.122092041,0.166398318,0.009777097,0.396779608,-3828.000379,-0.000463752,0.370849435
64,64,0.121844802,0.532366615,0.123960956,0.152006672,0.008016613,0.407067854,-3829.925096,-0.002116154,0.380359943
65,65,0.117110261,0.540353002,0.114267032,0.145797519,0.008673453,0.409223533,-3830.466028,0.002843229,0.394555483
66,66,0.110056642,0.534280439,0.108685316,0.129862488,0.007901493,0.428710619,-3832.302359,0.001371326,0.404417951
67,67,0.110464292,0.535621704,0.127476079,0.132827708,0.009190654,0.43963383,-3831.777231,-0.017011787,0.402793996
68,68,0.138124619,0.536024215,0.138116752,0.132525818,0.009836551,0.438588432,-3828.310119,7.86759E-06,0.403498397
